ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
7,5,3,1,1,ws,42258,87.4829931972789
10,5,2,4,1,is,105032,48.328466329518264
6,6,3,1,2,os,40665,40.37223649256826
4,9,4,1,3,ws,44446,75.94356261022925
7,6,3,4,2,is,60369,48.247701846990566
8,9,1,4,2,os,47705,32.748132771602144
9,3,2,1,3,is,92402,58.83183189776089
3,9,4,2,1,os,54193,43.2793499552379
7,3,2,2,4,is,109602,57.64452724381605
6,10,1,4,3,ws,27847,79.22539682539683
9,6,3,1,2,is,52067,49.4020846902359
5,8,4,4,4,is,61999,44.85583914108737
4,9,2,4,3,ws,39217,75.94356261022925
10,8,3,1,3,ws,25399,76.1
8,4,2,3,4,ws,37618,93.54166666666667
4,5,3,3,3,ws,60811,91.42857142857143
9,4,2,3,2,os,60000,46.22728318380493
4,10,3,4,4,is,61253,44.842274966412944
4,9,2,4,4,is,64892,45.88583259390712
8,8,3,4,4,ws,23098,79.375
8,3,4,2,3,is,108242,56.851659751037346
3,3,2,2,2,os,148653,49.8931065689946
6,4,2,1,2,ws,49612,91.49206349206348
6,3,3,4,1,is,116829,56.91690267623877
8,4,3,1,2,is,85100,51.875
10,9,4,3,3,os,21519,31.42266894450797
8,5,1,1,4,is,252189,48.80178333776948
9,10,1,3,1,is,251452,45.21145334018895
10,5,1,1,1,ws,34548,85.76
7,5,4,4,1,is,69423,50.080112406953795
3,4,1,2,3,os,81448,58.86122637159981
5,4,1,2,2,os,55227,51.257954041345045
9,3,2,1,4,ws,50409,84.29551244366061
7,5,2,1,4,ws,42258,87.4829931972789
4,3,1,4,2,os,98344,45.21604938271575
5,3,2,4,2,os,95653,42.341733126969274
4,10,3,2,3,ws,38353,83.42857142857142
8,8,2,2,1,os,37896,36.38530016170328
3,5,1,4,1,ws,77327,91.14702581369247
10,8,4,3,4,is,43275,43.91612990163044
7,10,4,4,1,is,53611,44.07962808948025
9,10,2,3,1,ws,18685,80.57848324514991
7,4,4,1,2,is,82803,52.97278911564638
3,4,3,1,3,is,129771,54.786756453423116
6,7,1,4,1,ws,36646,74.50037792894936
10,9,2,1,4,is,50077,43.36011042097992
9,4,1,1,4,is,239057,54.144620811287474
4,10,2,1,2,is,72822,44.842274966412944
7,5,1,1,1,ws,42258,87.4829931972789
4,4,4,2,3,ws,62081,95.95238095238096
4,7,4,4,1,is,75890,47.48664313088785
6,6,3,2,3,os,40665,40.37223649256826
9,9,4,2,2,os,22294,32.151079075394634
3,9,1,3,3,os,54193,43.2793499552379
7,7,1,1,1,ws,36456,75.05021056041463
7,4,2,4,1,is,108923,52.97278911564638
4,8,1,3,3,ws,39175,81.78571428571429
4,5,2,1,3,is,127977,51.21082930909925
9,6,4,4,2,os,28443,37.24024231270621
6,9,4,4,3,ws,28657,71.69888860894153
7,9,4,2,4,os,26393,33.600491692205644
4,8,3,1,1,ws,44288,81.78571428571429
8,8,4,1,3,is,49003,44.08448153887616
3,7,3,1,1,ws,65925,78.23526267970719
9,3,3,1,1,os,55059,37.31862757627668
3,10,3,2,1,ws,49243,83.14702581369247
8,7,3,4,4,ws,29551,76.66666666666666
6,4,1,3,3,ws,46267,91.49206349206348
7,4,1,4,4,is,222228,52.97278911564638
6,5,1,2,3,os,152270,41.977869986168955
6,8,4,3,4,os,29301,38.72233748271093
8,4,1,4,4,os,85702,46.784182275524415
5,4,2,2,3,ws,53679,92.8144499178982
10,10,4,4,4,ws,18167,78.08000000000001
7,5,4,4,3,ws,37804,87.4829931972789
5,4,3,1,2,os,52947,51.257954041345045
8,10,1,3,1,is,252466,42.44153605015673
9,3,4,4,3,ws,47785,84.29551244366061
5,8,4,1,3,ws,38999,78.71674876847291
3,3,3,2,4,ws,122421,86.68537224092783
8,10,2,2,3,ws,22209,81.5
6,9,1,2,1,os,86021,34.96071385882352
10,6,1,1,3,os,129338,36.36655222172475
3,7,2,1,4,ws,65925,78.23526267970719
4,8,1,3,1,os,41213,43.125
10,9,3,1,4,is,42291,43.36011042097992
8,6,4,2,3,is,60277,46.851659751037346
9,8,2,4,3,is,93190,46.77315934783481
5,9,4,1,2,is,57316,44.27614764046542
5,7,4,1,3,is,67819,45.8246326250682
8,9,2,2,3,os,37825,32.748132771602144
5,5,2,2,3,is,122952,49.44564101689985
4,6,4,1,2,is,82371,49.25903971547125
9,3,1,4,1,ws,47785,84.29551244366061
3,4,4,2,4,os,81448,58.86122637159981
4,10,3,4,2,is,61253,44.842274966412944
7,3,3,3,2,is,105400,57.64452724381605
6,3,1,4,3,ws,71109,82.60591808739953
4,5,4,3,4,os,64480,47.000000000000206
4,5,2,2,2,os,113868,47.000000000000206
3,8,2,1,1,os,53304,47.47233748271093
3,6,4,3,2,os,68007,49.65795077828307
9,4,3,2,4,os,36129,46.22728318380493
5,5,1,4,2,os,55644,43.93969656640958
5,6,4,1,2,os,43764,42.200639652542506
8,3,4,1,2,ws,59994,84.75308641975309
8,8,2,4,4,os,37896,36.38530016170328
8,4,3,1,4,ws,41634,93.54166666666667
8,7,3,1,3,os,45996,33.03281870624542
9,3,1,3,4,os,112188,37.31862757627668
5,9,2,1,4,ws,39089,73.04628109225811
5,7,4,3,3,is,67819,45.8246326250682
3,8,3,1,3,is,85095,47.094227168902634
6,6,2,2,1,ws,36923,81.97883597883599
5,4,3,4,1,ws,53679,92.8144499178982
6,9,4,4,2,os,29726,34.96071385882352
4,10,3,3,2,ws,38353,83.42857142857142
10,6,3,1,2,is,53571,46.508437067773166
9,7,3,4,2,is,60081,47.70967598332034
4,9,4,2,3,os,42025,39.144620811287666
5,3,2,3,2,is,128296,57.26574412852868
4,7,4,2,4,is,75890,47.48664313088785
10,7,1,3,3,ws,24067,73.25714285714284
6,7,1,4,4,is,253406,45.75185066317613
8,8,3,4,1,ws,23098,79.375
9,6,3,3,2,ws,24797,83.668430335097
10,10,4,1,4,os,21249,29.788338557993676
5,10,3,1,1,os,34929,35.964311951024975
3,5,3,2,3,is,110802,51.754025870750276
5,10,1,4,2,is,253762,43.255029108822136
8,3,2,3,4,ws,57559,84.75308641975309
5,7,1,1,4,os,46687,37.09714691306419
10,3,2,2,4,is,124740,55.84177040110668
6,5,1,3,3,ws,44863,87.22539682539681
5,6,1,1,1,is,181038,47.55145841424279
6,3,2,1,3,os,189044,40.48981438792386
5,3,4,3,3,is,129305,57.26574412852868
6,9,1,2,3,ws,28657,71.69888860894153
6,4,4,1,4,is,92057,52.2063492063492
10,4,3,1,2,os,37438,45.22027168234065
4,8,4,2,4,os,41348,43.125
8,7,3,3,4,os,45996,33.03281870624542
5,4,3,3,3,ws,53679,92.8144499178982
6,4,3,3,3,is,92057,52.2063492063492
7,10,3,2,3,os,36585,32.394637534323124
7,3,1,4,1,os,106969,38.90709660367362
4,4,1,1,1,os,63515,54.16666666666667
10,4,1,1,2,os,166772,45.22027168234065
10,4,4,1,2,os,36450,45.22027168234065
4,5,2,3,4,is,127977,51.21082930909925
9,3,2,3,4,is,92402,58.83183189776089
10,4,2,4,3,os,66386,45.22027168234065
9,7,4,3,3,ws,24462,76.01578903166204
8,3,1,3,3,os,129815,37.951868737533445
9,5,2,2,4,is,97396,51.24031735704168
5,10,2,3,1,os,35343,35.964311951024975
6,7,2,3,2,is,106673,45.75185066317613
6,3,2,3,3,ws,71109,82.60591808739953
8,3,3,4,4,is,106606,56.851659751037346
10,10,4,1,4,is,49981,42.376426332288325
5,4,1,3,3,is,243548,52.43349753694592
9,3,4,2,3,os,52874,37.31862757627668
5,10,2,2,2,is,69218,43.255029108822136
6,10,2,2,2,ws,27847,79.22539682539683
3,10,3,1,1,is,73587,45.46830759704331
3,8,1,3,4,is,242795,47.094227168902634
5,7,4,2,1,os,44468,37.09714691306419
9,7,1,3,2,is,252386,47.70967598332034
4,4,4,4,4,is,110441,54.28571428571429
9,8,4,2,2,ws,19446,79.43562610229276
3,7,4,3,3,os,69341,44.1059079233352
10,8,2,3,2,is,94110,43.91612990163044
8,7,4,2,2,os,30752,33.03281870624542
10,6,3,2,3,os,29343,36.36655222172475
5,7,2,2,3,is,111476,45.8246326250682
10,3,3,4,1,is,95901,55.84177040110668
9,3,2,3,3,os,92331,37.31862757627668
4,4,2,4,3,os,114530,54.16666666666667
7,5,1,4,2,ws,37804,87.4829931972789
7,8,2,4,3,ws,24517,78.31972789115646
10,9,2,1,2,is,50077,43.36011042097992
8,8,3,2,4,os,32083,36.38530016170328
3,6,2,1,1,os,69251,49.65795077828307
4,7,1,2,2,ws,49948,78.50340136054427
4,6,4,1,1,os,52961,45.039682539682275
7,5,4,3,4,is,69423,50.080112406953795
6,10,1,1,3,ws,33943,79.22539682539683
3,3,2,4,3,is,161859,59.688012753941734
3,8,3,4,4,is,85095,47.094227168902634
7,6,1,1,3,ws,36377,82.53968253968254
3,4,3,2,2,ws,78553,95.81369248035915
9,6,1,1,3,is,183804,49.4020846902359
10,5,3,1,2,is,67817,48.328466329518264
10,8,2,3,1,ws,19033,76.1
8,5,3,2,1,os,59580,39.260679153753095
6,9,1,3,3,ws,28657,71.69888860894153
8,8,4,2,2,os,23554,36.38530016170328
10,10,1,3,3,ws,18167,78.08000000000001
10,4,4,2,1,ws,30965,89.86666666666667
4,6,1,4,4,os,52788,45.039682539682275
9,10,1,4,1,os,41336,30.611456176673517
8,8,2,1,4,ws,29163,79.375
5,5,3,4,1,is,86145,49.44564101689985
3,5,3,1,4,ws,80904,91.14702581369247
5,10,4,2,3,is,56241,43.255029108822136
5,6,4,3,4,ws,43031,83.32301196340605
8,7,3,2,3,os,45996,33.03281870624542
10,10,4,3,2,ws,18167,78.08000000000001
7,4,1,2,4,is,222228,52.97278911564638
3,4,4,3,1,os,81448,58.86122637159981
7,3,2,1,3,os,178755,38.90709660367362
9,6,1,3,2,is,183804,49.4020846902359
5,4,4,2,2,is,101511,52.43349753694592
3,5,3,1,2,ws,80904,91.14702581369247
7,7,1,2,4,ws,30994,75.05021056041463
7,9,3,1,4,os,36882,33.600491692205644
5,10,3,2,3,ws,32625,80.63054187192118
6,9,2,1,1,is,52562,44.25182117935741
7,6,2,1,4,is,63535,48.247701846990566
7,6,4,1,2,os,33562,38.806315550511876
7,6,3,2,1,os,51876,38.806315550511876
10,8,4,1,4,os,21571,34.98542319749216
10,8,1,4,2,ws,19033,76.1
8,3,2,3,4,os,105480,37.951868737533445
6,8,1,2,3,os,86060,38.72233748271093
3,5,2,4,1,is,117646,51.754025870750276
8,6,3,3,4,is,60277,46.851659751037346
5,10,2,2,3,is,69218,43.255029108822136
10,4,1,1,1,ws,35072,89.86666666666667
7,5,4,1,2,is,69423,50.080112406953795
8,7,2,2,4,ws,29461,76.66666666666666
6,8,1,2,2,is,240205,44.80954840724413
10,6,4,3,2,os,29213,36.36655222172475
9,10,2,3,1,os,32684,30.611456176673517
5,4,4,4,1,ws,53679,92.8144499178982
3,8,3,4,1,is,85095,47.094227168902634
10,9,4,3,1,is,39664,43.36011042097992
7,7,3,3,2,is,64800,46.567676151999095
4,5,3,3,3,os,64288,47.000000000000206
4,9,1,1,2,is,165465,45.88583259390712
3,4,4,4,3,is,129771,54.786756453423116
5,3,2,2,4,ws,82905,83.96801070364288
7,8,2,4,1,is,98115,45.6329697759713
10,6,4,2,1,os,29213,36.36655222172475
3,8,3,2,2,is,85095,47.094227168902634
9,7,1,1,4,is,252386,47.70967598332034
4,4,3,3,2,os,63515,54.16666666666667
9,7,2,3,1,ws,24604,76.01578903166204
9,5,2,2,4,os,59242,38.611456176673535
7,5,2,4,2,ws,37804,87.4829931972789
8,9,4,3,2,ws,22921,73.80070546737214
8,9,4,3,3,is,45010,43.483436853002075
9,6,2,2,3,os,46161,37.24024231270621
7,9,1,2,1,is,165971,45.075552926484576
9,5,4,4,4,ws,29871,88.57848324514991
3,7,3,1,1,os,69341,44.1059079233352
5,5,3,1,2,ws,56602,88.57536945812808
4,10,1,1,2,ws,43891,83.42857142857142
4,3,2,4,1,is,157645,59.259039715471246
8,10,4,2,3,is,47480,42.44153605015673
8,7,4,2,1,ws,29461,76.66666666666666
10,9,4,3,3,ws,18902,70.49453262786595
7,5,2,2,4,is,110054,50.080112406953795
9,7,4,1,4,is,48230,47.70967598332034
5,10,4,4,3,os,34929,35.964311951024975
4,7,1,4,3,ws,49948,78.50340136054427
8,3,1,4,4,os,129815,37.951868737533445
3,4,3,1,1,os,81448,58.86122637159981
4,10,3,2,1,ws,38353,83.42857142857142
5,8,2,1,4,is,107629,44.85583914108737
10,3,3,1,1,os,62454,36.43709895893818
8,6,3,4,2,ws,29854,84.04761904761907
4,5,1,3,2,is,254078,51.21082930909925
9,10,1,1,2,os,41336,30.611456176673517
10,8,4,3,4,os,21549,34.98542319749216
6,8,2,2,3,os,66427,38.72233748271093
10,4,1,4,3,is,245244,51.20000000000012
4,4,2,2,1,is,111927,54.28571428571429
3,9,4,4,1,ws,50195,75.74474907808242
6,6,1,3,3,ws,36923,81.97883597883599
3,5,4,3,2,os,82743,51.97786998616893
4,6,4,1,2,ws,54691,86.19047619047618
3,6,4,1,4,is,97977,49.83017511832632
3,4,3,3,4,ws,78553,95.81369248035915
8,10,4,4,1,is,47480,42.44153605015673
5,3,3,1,1,os,81772,42.341733126969274
7,10,2,3,1,is,60880,44.07962808948025
10,8,1,3,4,ws,19033,76.1
4,4,2,3,2,is,111927,54.28571428571429
3,4,1,3,1,ws,78553,95.81369248035915
7,10,3,4,4,is,46687,44.07962808948025
10,9,3,2,2,os,21975,31.42266894450797
6,4,1,1,1,os,152991,49.41678192715536
4,7,3,4,4,is,80199,47.48664313088785
6,5,2,2,4,os,123121,41.977869986168955
10,3,2,4,1,ws,47187,81.26913580246917
9,9,3,3,2,is,45453,46.21748502585862
8,5,2,4,4,os,68006,39.260679153753095
3,8,1,3,2,is,242795,47.094227168902634
7,3,3,2,4,ws,60241,83.18468127991937
4,8,2,3,3,os,58425,43.125
5,10,2,1,2,ws,38600,80.63054187192118
8,9,4,2,3,ws,22921,73.80070546737214
6,6,1,2,3,is,180561,47.4460032053393
4,6,4,3,1,is,82371,49.25903971547125
4,3,2,3,3,os,182508,45.21604938271575
5,8,4,2,3,is,61999,44.85583914108737
6,6,4,4,3,is,67475,47.4460032053393
5,6,2,4,1,is,76724,47.55145841424279
4,3,4,4,4,os,98574,45.21604938271575
8,10,4,1,2,os,23856,31.35824012936265
8,10,1,3,3,os,47376,31.35824012936265
8,4,1,3,3,os,85702,46.784182275524415
3,7,1,4,4,ws,63736,78.23526267970719
8,5,4,4,3,is,69586,48.80178333776948
7,9,4,3,2,is,45478,45.075552926484576
5,7,3,2,4,os,44468,37.09714691306419
8,5,3,4,2,os,59580,39.260679153753095
6,3,3,2,2,os,81696,40.48981438792386
4,8,1,3,4,ws,39175,81.78571428571429
4,8,3,4,4,os,41213,43.125
8,10,2,1,2,os,37518,31.35824012936265
5,6,2,1,2,is,76724,47.55145841424279
6,3,1,4,3,is,208546,56.91690267623877
8,4,2,3,3,ws,37618,93.54166666666667
5,6,3,3,1,os,43796,42.200639652542506
7,10,3,3,4,is,46687,44.07962808948025
3,5,3,2,3,ws,77327,91.14702581369247
5,3,3,2,1,os,81772,42.341733126969274
9,6,4,4,1,is,52749,49.4020846902359
6,10,1,4,4,is,253298,43.24442056028262
8,9,2,3,2,is,46551,43.483436853002075
6,7,1,1,4,os,119672,35.375749193176745
7,3,1,3,2,is,206111,57.64452724381605
7,3,2,3,4,is,109602,57.64452724381605
7,6,1,3,3,os,53603,38.806315550511876
3,4,3,4,4,os,81448,58.86122637159981
6,6,2,2,3,is,72656,47.4460032053393
9,5,3,2,3,ws,29871,88.57848324514991
4,9,3,3,4,is,63968,45.88583259390712
7,3,1,3,4,ws,60241,83.18468127991937
