config-name,ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_map_eff
system_c800f168-fadf-48b8-96ef-5ab5efe38f0e,9,10,5,5,5,ws,18573,80.57848324514991
system_9d319874-b206-4707-ba7e-786f17f9b090,9,6,5,5,5,is,52067,49.4020846902359
system_76ac18ba-99f3-471c-a12a-1ba24c009397,6,8,5,5,5,is,55493,44.80954840724413
system_3562bae5-9815-46bb-9cde-b5728f351a68,7,9,5,5,5,os,26393,33.600491692205644
system_149e37d4-ce42-4ea3-8f25-a017a4289bdb,7,8,5,5,5,ws,24517,78.31972789115646
system_760c8c1e-e1bc-4736-8f08-474cea9e1e93,3,9,5,5,5,os,54193,43.2793499552379
system_6cf293f4-1bb9-4a73-810a-3f55c60538f7,5,8,5,5,5,os,34091,40.45538993878094
system_2392b6a7-8281-4fc7-b4a1-a56e68bf75d2,7,7,5,5,5,ws,30994,75.05021056041463
system_b6729fd6-b30b-4e38-b518-5f22af3b18d7,4,7,5,5,5,is,74997,47.48664313088785
system_606b5562-6899-4b71-8823-ea300e054b42,9,9,5,5,5,is,38717,46.21748502585862
system_3ab39da2-fae1-4d87-a2fd-08dd98b11848,9,6,5,5,5,os,28361,37.24024231270621
system_d3d2a99b-611f-48dd-a2c5-ea236ce3e879,5,9,5,5,5,ws,33446,73.04628109225811
system_8a44c0b5-f455-4be1-bccc-848af42ce7d3,3,10,5,5,5,os,54934,43.97786998616895
system_83b12ea9-990e-4a5c-b5ca-660120a20458,3,4,5,5,5,os,81448,58.86122637159981
system_c6a029cb-ad97-4e61-96d4-f6aca827f32f,3,7,5,5,5,is,89514,48.07661063596921
system_20bf1e34-8301-4aa5-a082-aff2db52c782,7,10,5,5,5,ws,23635,79.64625850340137
system_ea0764f3-1ac9-479f-9379-6880bcf3a3cb,7,10,5,5,5,os,26507,32.394637534323124
system_f59d5043-8203-4f35-a74e-5f7b6d8b3c52,8,6,5,5,5,is,60277,46.851659751037346
system_087d8bd1-bd2b-4fe7-8d31-7c00199941ee,10,10,5,5,5,is,37047,42.376426332288325
system_72fca41d-3be3-4d1e-9276-7f7c6af79c84,8,7,5,5,5,is,54669,45.08424738998285
system_e8042dd9-753d-413b-ab9c-6baf31b5b6ac,6,4,5,5,5,is,92057,52.2063492063492
system_da2d19a8-7365-4ffd-8bd6-825f7efcb454,8,9,5,5,5,is,44944,43.483436853002075
